vote_event_id,voter_id,voter_type,option
ceske-budejovice:vote-event:2023005-15,ceske-budejovice:person:petr-kolar,person,abstain
ceske-budejovice:vote-event:2023005-15,ceske-budejovice:person:lucie-kozlova,person,yes
ceske-budejovice:vote-event:2023005-15,ceske-budejovice:person:jan-krob,person,absent
ceske-budejovice:vote-event:2023005-15,ceske-budejovice:person:monika-kroutilova,person,no
ceske-budejovice:vote-event:2023005-15,ceske-budejovice:person:martin-kuba,person,yes
ceske-budejovice:vote-event:2023005-15,ceske-budejovice:person:roman-kubicek,person,not voting
ceske-budejovice:vote-event:2023005-15,ceske-budejovice:person:tomas-kubin,person,abstain
ceske-budejovice:vote-event:2023005-15,ceske-budejovice:person:michaela-kudlackova,person,yes
ceske-budejovice:vote-event:2023005-15,ceske-budejovice:person:zuzana-kudlackova,person,yes
ceske-budejovice:vote-event:2023005-15,ceske-budejovice:person:petr-lamac,person,yes
ceske-budejovice:vote-event:2023005-15,ceske-budejovice:person:viktor-lavicka,person,yes
ceske-budejovice:vote-event:2023005-15,ceske-budejovice:person:petr-maros,person,yes
ceske-budejovice:vote-event:2023005-15,ceske-budejovice:person:martin-marsik,person,yes
ceske-budejovice:vote-event:2023005-15,ceske-budejovice:person:jan-michl,person,abstain
ceske-budejovice:vote-event:2023005-15,ceske-budejovice:person:svatomir-mlcoch,person,yes
ceske-budejovice:vote-event:2023005-15,ceske-budejovice:person:ivo-moravec,person,not voting
ceske-budejovice:vote-event:2023005-15,ceske-budejovice:person:andrea-nadravska,person,abstain
ceske-budejovice:vote-event:2023005-15,ceske-budejovice:person:martin-novotny,person,yes
ceske-budejovice:vote-event:2023005-15,ceske-budejovice:person:petr-pelech,person,yes
ceske-budejovice:vote-event:2023005-15,ceske-budejovice:person:svetlana-prochazkova,person,abstain
ceske-budejovice:vote-event:2023005-15,ceske-budejovice:person:adela-ruiderova,person,yes
ceske-budejovice:vote-event:2023005-15,ceske-budejovice:person:martin-stasek,person,yes
ceske-budejovice:vote-event:2023005-15,ceske-budejovice:person:petr-stehlik,person,abstain
ceske-budejovice:vote-event:2023005-15,ceske-budejovice:person:alice-stierandova,person,no
ceske-budejovice:vote-event:2023005-15,ceske-budejovice:person:jiri-svoboda,person,not voting
ceske-budejovice:vote-event:2023005-15,ceske-budejovice:person:zbynek-sykora,person,yes
ceske-budejovice:vote-event:2023005-15,ceske-budejovice:person:pavla-sadkova,person,yes
ceske-budejovice:vote-event:2023005-15,ceske-budejovice:person:michal-sebek,person,yes
ceske-budejovice:vote-event:2023005-15,ceske-budejovice:person:dagmar-skodova-parmova,person,yes
ceske-budejovice:vote-event:2023005-15,ceske-budejovice:person:petr-stepanek,person,no
ceske-budejovice:vote-event:2023005-15,ceske-budejovice:person:juraj-thoma,person,abstain
ceske-budejovice:vote-event:2023005-15,ceske-budejovice:person:ondrej-trtilek,person,abstain
ceske-budejovice:vote-event:2023005-15,ceske-budejovice:person:karel-vaskovsky,person,yes
ceske-budejovice:vote-event:2023005-15,ceske-budejovice:person:jan-zahradnik,person,yes
ceske-budejovice:vote-event:2023005-16,ceske-budejovice:person:lukas-bajt,person,absent
ceske-budejovice:vote-event:2023005-16,ceske-budejovice:person:jaroslav-berka,person,yes
ceske-budejovice:vote-event:2023005-16,ceske-budejovice:person:vladimira-bernasova,person,yes
ceske-budejovice:vote-event:2023005-16,ceske-budejovice:person:jiri-borovka,person,yes
ceske-budejovice:vote-event:2023005-16,ceske-budejovice:person:tomas-bouzek,person,yes
ceske-budejovice:vote-event:2023005-16,ceske-budejovice:person:lubomir-bures,person,yes
ceske-budejovice:vote-event:2023005-16,ceske-budejovice:person:vladan-cisler,person,yes
ceske-budejovice:vote-event:2023005-16,ceske-budejovice:person:simon-heller,person,yes
ceske-budejovice:vote-event:2023005-16,ceske-budejovice:person:petr-holicky,person,yes
ceske-budejovice:vote-event:2023005-16,ceske-budejovice:person:tomas-chovanec,person,yes
ceske-budejovice:vote-event:2023005-16,ceske-budejovice:person:jan-kadlec,person,yes
ceske-budejovice:vote-event:2023005-16,ceske-budejovice:person:petr-kolar,person,yes
ceske-budejovice:vote-event:2023005-16,ceske-budejovice:person:lucie-kozlova,person,yes
ceske-budejovice:vote-event:2023005-16,ceske-budejovice:person:jan-krob,person,absent
ceske-budejovice:vote-event:2023005-16,ceske-budejovice:person:monika-kroutilova,person,yes
ceske-budejovice:vote-event:2023005-16,ceske-budejovice:person:martin-kuba,person,yes
ceske-budejovice:vote-event:2023005-16,ceske-budejovice:person:roman-kubicek,person,yes
ceske-budejovice:vote-event:2023005-16,ceske-budejovice:person:tomas-kubin,person,yes
ceske-budejovice:vote-event:2023005-16,ceske-budejovice:person:michaela-kudlackova,person,yes
ceske-budejovice:vote-event:2023005-16,ceske-budejovice:person:zuzana-kudlackova,person,yes
ceske-budejovice:vote-event:2023005-16,ceske-budejovice:person:petr-lamac,person,yes
ceske-budejovice:vote-event:2023005-16,ceske-budejovice:person:viktor-lavicka,person,yes
ceske-budejovice:vote-event:2023005-16,ceske-budejovice:person:petr-maros,person,yes
ceske-budejovice:vote-event:2023005-16,ceske-budejovice:person:martin-marsik,person,yes
ceske-budejovice:vote-event:2023005-16,ceske-budejovice:person:jan-michl,person,yes
ceske-budejovice:vote-event:2023005-16,ceske-budejovice:person:svatomir-mlcoch,person,yes
ceske-budejovice:vote-event:2023005-16,ceske-budejovice:person:ivo-moravec,person,yes
ceske-budejovice:vote-event:2023005-16,ceske-budejovice:person:andrea-nadravska,person,yes
ceske-budejovice:vote-event:2023005-16,ceske-budejovice:person:martin-novotny,person,yes
ceske-budejovice:vote-event:2023005-16,ceske-budejovice:person:petr-pelech,person,yes
ceske-budejovice:vote-event:2023005-16,ceske-budejovice:person:svetlana-prochazkova,person,yes
ceske-budejovice:vote-event:2023005-16,ceske-budejovice:person:adela-ruiderova,person,yes
ceske-budejovice:vote-event:2023005-16,ceske-budejovice:person:martin-stasek,person,yes
ceske-budejovice:vote-event:2023005-16,ceske-budejovice:person:petr-stehlik,person,yes
ceske-budejovice:vote-event:2023005-16,ceske-budejovice:person:alice-stierandova,person,no
ceske-budejovice:vote-event:2023005-16,ceske-budejovice:person:jiri-svoboda,person,yes
ceske-budejovice:vote-event:2023005-16,ceske-budejovice:person:zbynek-sykora,person,yes
ceske-budejovice:vote-event:2023005-16,ceske-budejovice:person:pavla-sadkova,person,yes
ceske-budejovice:vote-event:2023005-16,ceske-budejovice:person:michal-sebek,person,yes
ceske-budejovice:vote-event:2023005-16,ceske-budejovice:person:dagmar-skodova-parmova,person,yes
ceske-budejovice:vote-event:2023005-16,ceske-budejovice:person:petr-stepanek,person,yes
ceske-budejovice:vote-event:2023005-16,ceske-budejovice:person:juraj-thoma,person,yes
ceske-budejovice:vote-event:2023005-16,ceske-budejovice:person:ondrej-trtilek,person,yes
ceske-budejovice:vote-event:2023005-16,ceske-budejovice:person:karel-vaskovsky,person,yes
ceske-budejovice:vote-event:2023005-16,ceske-budejovice:person:jan-zahradnik,person,yes
ceske-budejovice:vote-event:2023005-17,ceske-budejovice:person:lukas-bajt,person,absent
ceske-budejovice:vote-event:2023005-17,ceske-budejovice:person:jaroslav-berka,person,yes
ceske-budejovice:vote-event:2023005-17,ceske-budejovice:person:vladimira-bernasova,person,yes
ceske-budejovice:vote-event:2023005-17,ceske-budejovice:person:jiri-borovka,person,yes
ceske-budejovice:vote-event:2023005-17,ceske-budejovice:person:tomas-bouzek,person,yes
ceske-budejovice:vote-event:2023005-17,ceske-budejovice:person:lubomir-bures,person,yes
ceske-budejovice:vote-event:2023005-17,ceske-budejovice:person:vladan-cisler,person,yes
ceske-budejovice:vote-event:2023005-17,ceske-budejovice:person:simon-heller,person,yes
ceske-budejovice:vote-event:2023005-17,ceske-budejovice:person:petr-holicky,person,yes
ceske-budejovice:vote-event:2023005-17,ceske-budejovice:person:tomas-chovanec,person,yes
ceske-budejovice:vote-event:2023005-17,ceske-budejovice:person:jan-kadlec,person,yes
ceske-budejovice:vote-event:2023005-17,ceske-budejovice:person:petr-kolar,person,yes
ceske-budejovice:vote-event:2023005-17,ceske-budejovice:person:lucie-kozlova,person,yes
ceske-budejovice:vote-event:2023005-17,ceske-budejovice:person:jan-krob,person,absent
ceske-budejovice:vote-event:2023005-17,ceske-budejovice:person:monika-kroutilova,person,yes
ceske-budejovice:vote-event:2023005-17,ceske-budejovice:person:martin-kuba,person,yes
ceske-budejovice:vote-event:2023005-17,ceske-budejovice:person:roman-kubicek,person,yes
ceske-budejovice:vote-event:2023005-17,ceske-budejovice:person:tomas-kubin,person,yes
ceske-budejovice:vote-event:2023005-17,ceske-budejovice:person:michaela-kudlackova,person,yes
ceske-budejovice:vote-event:2023005-17,ceske-budejovice:person:zuzana-kudlackova,person,yes
ceske-budejovice:vote-event:2023005-17,ceske-budejovice:person:petr-lamac,person,yes
ceske-budejovice:vote-event:2023005-17,ceske-budejovice:person:viktor-lavicka,person,yes
ceske-budejovice:vote-event:2023005-17,ceske-budejovice:person:petr-maros,person,yes
ceske-budejovice:vote-event:2023005-17,ceske-budejovice:person:martin-marsik,person,yes
ceske-budejovice:vote-event:2023005-17,ceske-budejovice:person:jan-michl,person,yes
ceske-budejovice:vote-event:2023005-17,ceske-budejovice:person:svatomir-mlcoch,person,yes
ceske-budejovice:vote-event:2023005-17,ceske-budejovice:person:ivo-moravec,person,yes
ceske-budejovice:vote-event:2023005-17,ceske-budejovice:person:andrea-nadravska,person,yes
ceske-budejovice:vote-event:2023005-17,ceske-budejovice:person:martin-novotny,person,yes
ceske-budejovice:vote-event:2023005-17,ceske-budejovice:person:petr-pelech,person,yes
ceske-budejovice:vote-event:2023005-17,ceske-budejovice:person:svetlana-prochazkova,person,yes
ceske-budejovice:vote-event:2023005-17,ceske-budejovice:person:adela-ruiderova,person,yes
ceske-budejovice:vote-event:2023005-17,ceske-budejovice:person:martin-stasek,person,yes
ceske-budejovice:vote-event:2023005-17,ceske-budejovice:person:petr-stehlik,person,yes
ceske-budejovice:vote-event:2023005-17,ceske-budejovice:person:alice-stierandova,person,yes
ceske-budejovice:vote-event:2023005-17,ceske-budejovice:person:jiri-svoboda,person,yes
ceske-budejovice:vote-event:2023005-17,ceske-budejovice:person:zbynek-sykora,person,yes
ceske-budejovice:vote-event:2023005-17,ceske-budejovice:person:pavla-sadkova,person,yes
ceske-budejovice:vote-event:2023005-17,ceske-budejovice:person:michal-sebek,person,yes
ceske-budejovice:vote-event:2023005-17,ceske-budejovice:person:dagmar-skodova-parmova,person,yes
ceske-budejovice:vote-event:2023005-17,ceske-budejovice:person:petr-stepanek,person,yes
ceske-budejovice:vote-event:2023005-17,ceske-budejovice:person:juraj-thoma,person,yes
ceske-budejovice:vote-event:2023005-17,ceske-budejovice:person:ondrej-trtilek,person,yes
ceske-budejovice:vote-event:2023005-17,ceske-budejovice:person:karel-vaskovsky,person,yes
ceske-budejovice:vote-event:2023005-17,ceske-budejovice:person:jan-zahradnik,person,yes
ceske-budejovice:vote-event:2023005-18,ceske-budejovice:person:lukas-bajt,person,absent
ceske-budejovice:vote-event:2023005-18,ceske-budejovice:person:jaroslav-berka,person,yes
ceske-budejovice:vote-event:2023005-18,ceske-budejovice:person:vladimira-bernasova,person,absent
ceske-budejovice:vote-event:2023005-18,ceske-budejovice:person:jiri-borovka,person,yes
ceske-budejovice:vote-event:2023005-18,ceske-budejovice:person:tomas-bouzek,person,yes
ceske-budejovice:vote-event:2023005-18,ceske-budejovice:person:lubomir-bures,person,yes
ceske-budejovice:vote-event:2023005-18,ceske-budejovice:person:vladan-cisler,person,yes
ceske-budejovice:vote-event:2023005-18,ceske-budejovice:person:simon-heller,person,yes
ceske-budejovice:vote-event:2023005-18,ceske-budejovice:person:petr-holicky,person,yes
ceske-budejovice:vote-event:2023005-18,ceske-budejovice:person:tomas-chovanec,person,yes
ceske-budejovice:vote-event:2023005-18,ceske-budejovice:person:jan-kadlec,person,yes
ceske-budejovice:vote-event:2023005-18,ceske-budejovice:person:petr-kolar,person,yes
ceske-budejovice:vote-event:2023005-18,ceske-budejovice:person:lucie-kozlova,person,yes
ceske-budejovice:vote-event:2023005-18,ceske-budejovice:person:jan-krob,person,absent
ceske-budejovice:vote-event:2023005-18,ceske-budejovice:person:monika-kroutilova,person,yes
ceske-budejovice:vote-event:2023005-18,ceske-budejovice:person:martin-kuba,person,yes
ceske-budejovice:vote-event:2023005-18,ceske-budejovice:person:roman-kubicek,person,not voting
ceske-budejovice:vote-event:2023005-18,ceske-budejovice:person:tomas-kubin,person,yes
ceske-budejovice:vote-event:2023005-18,ceske-budejovice:person:michaela-kudlackova,person,yes
ceske-budejovice:vote-event:2023005-18,ceske-budejovice:person:zuzana-kudlackova,person,yes
ceske-budejovice:vote-event:2023005-18,ceske-budejovice:person:petr-lamac,person,yes
ceske-budejovice:vote-event:2023005-18,ceske-budejovice:person:viktor-lavicka,person,yes
ceske-budejovice:vote-event:2023005-18,ceske-budejovice:person:petr-maros,person,yes
ceske-budejovice:vote-event:2023005-18,ceske-budejovice:person:martin-marsik,person,yes
ceske-budejovice:vote-event:2023005-18,ceske-budejovice:person:jan-michl,person,yes
ceske-budejovice:vote-event:2023005-18,ceske-budejovice:person:svatomir-mlcoch,person,yes
ceske-budejovice:vote-event:2023005-18,ceske-budejovice:person:ivo-moravec,person,yes
ceske-budejovice:vote-event:2023005-18,ceske-budejovice:person:andrea-nadravska,person,yes
ceske-budejovice:vote-event:2023005-18,ceske-budejovice:person:martin-novotny,person,yes
ceske-budejovice:vote-event:2023005-18,ceske-budejovice:person:petr-pelech,person,yes
ceske-budejovice:vote-event:2023005-18,ceske-budejovice:person:svetlana-prochazkova,person,yes
ceske-budejovice:vote-event:2023005-18,ceske-budejovice:person:adela-ruiderova,person,yes
ceske-budejovice:vote-event:2023005-18,ceske-budejovice:person:martin-stasek,person,yes
ceske-budejovice:vote-event:2023005-18,ceske-budejovice:person:petr-stehlik,person,yes
ceske-budejovice:vote-event:2023005-18,ceske-budejovice:person:alice-stierandova,person,yes
ceske-budejovice:vote-event:2023005-18,ceske-budejovice:person:jiri-svoboda,person,yes
ceske-budejovice:vote-event:2023005-18,ceske-budejovice:person:zbynek-sykora,person,yes
ceske-budejovice:vote-event:2023005-18,ceske-budejovice:person:pavla-sadkova,person,yes
ceske-budejovice:vote-event:2023005-18,ceske-budejovice:person:michal-sebek,person,yes
ceske-budejovice:vote-event:2023005-18,ceske-budejovice:person:dagmar-skodova-parmova,person,yes
ceske-budejovice:vote-event:2023005-18,ceske-budejovice:person:petr-stepanek,person,yes
ceske-budejovice:vote-event:2023005-18,ceske-budejovice:person:juraj-thoma,person,yes
ceske-budejovice:vote-event:2023005-18,ceske-budejovice:person:ondrej-trtilek,person,yes
ceske-budejovice:vote-event:2023005-18,ceske-budejovice:person:karel-vaskovsky,person,yes
ceske-budejovice:vote-event:2023005-18,ceske-budejovice:person:jan-zahradnik,person,yes
ceske-budejovice:vote-event:2023005-19,ceske-budejovice:person:lukas-bajt,person,absent
ceske-budejovice:vote-event:2023005-19,ceske-budejovice:person:jaroslav-berka,person,yes
ceske-budejovice:vote-event:2023005-19,ceske-budejovice:person:vladimira-bernasova,person,absent
ceske-budejovice:vote-event:2023005-19,ceske-budejovice:person:jiri-borovka,person,yes
ceske-budejovice:vote-event:2023005-19,ceske-budejovice:person:tomas-bouzek,person,yes
ceske-budejovice:vote-event:2023005-19,ceske-budejovice:person:lubomir-bures,person,yes
ceske-budejovice:vote-event:2023005-19,ceske-budejovice:person:vladan-cisler,person,yes
ceske-budejovice:vote-event:2023005-19,ceske-budejovice:person:simon-heller,person,yes
ceske-budejovice:vote-event:2023005-19,ceske-budejovice:person:petr-holicky,person,yes
ceske-budejovice:vote-event:2023005-19,ceske-budejovice:person:tomas-chovanec,person,yes
ceske-budejovice:vote-event:2023005-19,ceske-budejovice:person:jan-kadlec,person,abstain
ceske-budejovice:vote-event:2023005-19,ceske-budejovice:person:petr-kolar,person,yes
ceske-budejovice:vote-event:2023005-19,ceske-budejovice:person:lucie-kozlova,person,yes
ceske-budejovice:vote-event:2023005-19,ceske-budejovice:person:jan-krob,person,absent
ceske-budejovice:vote-event:2023005-19,ceske-budejovice:person:monika-kroutilova,person,abstain
ceske-budejovice:vote-event:2023005-19,ceske-budejovice:person:martin-kuba,person,yes
ceske-budejovice:vote-event:2023005-19,ceske-budejovice:person:roman-kubicek,person,yes
ceske-budejovice:vote-event:2023005-19,ceske-budejovice:person:tomas-kubin,person,yes
ceske-budejovice:vote-event:2023005-19,ceske-budejovice:person:michaela-kudlackova,person,yes
ceske-budejovice:vote-event:2023005-19,ceske-budejovice:person:zuzana-kudlackova,person,yes
ceske-budejovice:vote-event:2023005-19,ceske-budejovice:person:petr-lamac,person,yes
ceske-budejovice:vote-event:2023005-19,ceske-budejovice:person:viktor-lavicka,person,yes
ceske-budejovice:vote-event:2023005-19,ceske-budejovice:person:petr-maros,person,yes
ceske-budejovice:vote-event:2023005-19,ceske-budejovice:person:martin-marsik,person,yes
